id,popularity,original_title,cast,director,tagline,keywords,overview,genres,release_year
9583,0.367352,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock|Ellen Burstyn|Fionnula Flanagan|James Garner|Cherry Jones,Callie Khouri,The Secret Is Out.,secret society|conciliation|marriage|mother daughter relationship|playwright,"A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother.",Comedy|Drama|Romance,2002
13435,0.364807,Antwone Fisher,Derek Luke|Malcolm David Kelley|Cory Hodges|Denzel Washington|Joy Bryant,Denzel Washington,Antwone Fisher is at war... with himself.,us navy|biography,"A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.",Drama|Romance,2002
14874,0.362612,Try Seventeen,Elijah Wood|Franka Potente|Mandy Moore|Deborah Harry|Elizabeth Perkins,Jeffrey Porter,"You're only seventeen once. For Jones Dillon, it's one time too many.",photographer|flirt|symbolism|virgin|fantasy,"Teenager Jones has opted not to go to college and is instead renting a room in a boarding house to work on his writing skills. Soon, Jones finds himself dividing his time between two women: a young actress named Lisa and a photographer named Jane. After Jane's ex-boyfriend arrives to help her recover from a car accident, Jones begins to understand just how much he cares for her.",Comedy|Romance|Drama,2002
2750,0.360948,24 Hour Party People,Steve Coogan|Paddy Considine|Sean Harris|Lennie James|Shirley Henderson,Michael Winterbottom,Share the Ecstacy!,manchester city|nightclub|musical|celebration,"Manchester 1976: Cambridge educated Tony Wilson, Granada TV presenter, is at a Sex Pistols gig. Totally inspired by this pivotal moment in music history, he and his friends set up a record label, Factory Records, signing first Joy Division (who go on to become New Order) then James and the Happy Mondays, who all become seminal artists of their time. What ensues is a tale of music, sex, drugs, larger-than-life characters, and the birth of one of the most famous dance clubs in the world, The Hacienda - a mecca for clubbers as famous as the likes of Studio 54. Graphically depicting the music and dance heritage of Manchester from the late 70's to the early 90's, this comedy documents the vibrancy that made Mad-chester the place in the world that you would most like to be.",Comedy|Drama,2002
16068,0.188773,Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,Dylan Neal|Andreas Katsulas|Alex Zahara|Myriam Sirois|Dean Marshall,Michael Vejar,,,"After being punished for retreat from combat, Ranger David Martel is given command of the Liandra, a haunted 20-year old Minbari fighting ship. He's escorting ambassadors to a secret archaeological site, the oldest city on record and a clue to a dangerous ancient race.",Science Fiction|Adventure|Action,2002
14008,0.359055,Cadet Kelly,Hilary Duff|Christy Carlson Romano|Gary Cole|Shawn Ashmore|Aimee Garcia,Larry Shaw,Too Cool For The Rules!,military school,Hyperactive teenager Kelly is enrolled into a military school when her new stepfather becomes the Commandant. At first she has problems fitting in and taking orders until she tries out for the drill team.,Drama|Comedy|Family|TV Movie,2002
9685,0.357389,Igby Goes Down,Kieran Culkin|Claire Danes|Jeff Goldblum|Jared Harris|Amanda Peet,Burr Steers,Insanity is relative.,father-son relationship|patenonkel|independent film|falling in love,A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.,Comedy|Drama,2002
2165,0.34718,Liberty Stands Still,Wesley Snipes|Linda Fiorentino|Tanya Allen|Hart Bochner|Terry Chen,Kari Skogland,In the game of life and death... you only lose once.,defense industry|loss of daughter|suspense|woman director,"As the heir and current marketing director for one of the nation's biggest gun manufacturers, Liberty Wallace is indifferent to the atrocities made possible through her business and her CEO husband, Victor. On her way to see her actor lover, Liberty ends up chained to a food cart full of explosives -- all at the insistence of ""Joe"", a sniper whose young daughter was a victim of gun violence, and who now has Liberty in his sights.",Drama|Thriller,2002
12779,0.346922,Swept Away,Madonna|Adriano Giannini|Bruce Greenwood|Elizabeth Banks|Michael Beattie,Guy Ritchie,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,adultery|island|shipwreck|tropical island,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.",Comedy|Romance,2002
9555,0.346915,Rabbit-Proof Fence,Everlyn Sampi|Tianna Sansbury|Laura Monaghan|Kenneth Branagh|David Gulpilil,Phillip Noyce,"Follow Your Heart, Follow The Fence",child abuse|sister sister relationship|prosecution|australia|approved school,"In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback.",Adventure|Drama|Action|History,2002
9557,0.346465,Boat Trip,Cuba Gooding Jr.|Horatio Sanz|Roselyn SÃ¡nchez|Vivica A. Fox|Maurice Godin,Mort Nathan,"... once you're on, you'll want to get off...",gay|bikini|cruise ship|babes,"Two straight men mistakenly end up on a ""gays only"" cruise.",Comedy,2002
